,open,high,low,close,volume,EMA,SMA,T3,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,FastD,FastK,RSI,WILLR,ADX,CCI,ROC,Aroon Down,Aroon Up,MFI,TRIX,Real Lower Band,Real Middle Band,Real Upper Band,DX,Chaikin A/D,OBV,PHASE,QUADRATURE,ADOSC,buy_label,ACTIVE_ABNB,ACTIVE_BWA,ACTIVE_CHWY,ACTIVE_NKE,ACTIVE_SBUX
112,144.8028,157.39,143.81,155.56,22205392,151.9812,152.8682,152.9198,1.755,-8.9824,10.7374,33.2616,31.4161,31.4161,51.0183,23.5884,-43.6786,55.2369,-18.9924,-12.3982,75.0,0.0,20.5821,-1.9911,141.1588,152.8682,164.5777,51.4102,357053768.7962,116591926.0,-16.6746,26.1371,3660799.6705,1,True,False,False,False,False
111,156.79,177.06,153.44,166.53,28593825,153.9047,152.1257,151.139,-2.6721,-11.4078,8.7357,36.8508,48.8559,48.8559,75.3313,49.6886,-24.6687,46.6415,102.2313,-1.8591,50.0,100.0,47.4255,-1.6128,141.9872,152.1257,162.2642,20.8552,360152845.5109,145185751.0,-3.1862,12.7211,6137989.387,1,True,False,False,False,False
110,166.63,191.73,165.03,174.9,55462296,158.9948,154.5557,153.1838,-5.2193,-11.6459,6.4266,48.6469,65.6688,65.6688,70.6568,63.3794,-29.3432,46.5632,99.095,6.1946,25.0,100.0,77.0096,-0.7155,138.2261,154.5557,170.8853,46.3284,345695258.239,200648047.0,-7.4664,-3.5817,1993244.7402,0,True,False,False,False,False
109,172.13,176.38,141.1795,155.09,34647086,164.2489,160.0882,157.9666,-6.6625,-10.8345,4.1721,58.4089,60.702,60.702,36.1179,69.5539,-72.482,38.3744,-45.3271,14.7533,0.0,75.0,76.6783,0.2579,139.2959,160.0882,180.8805,13.8078,338431777.0061,166000961.0,-8.1036,-0.9042,-2194644.3476,0,True,False,False,False,False
108,155.025,159.22,140.46,142.7,33715334,160.5593,162.6438,160.0579,-7.7069,-9.6192,1.9123,54.4729,37.0479,37.0479,4.369,40.9344,-95.631,32.5831,-102.1753,7.0594,100.0,50.0,58.2732,0.1974,148.5657,162.6438,176.7218,15.2094,312767866.0509,132285627.0,-10.5068,-2.802,-11874148.4285,1,True,False,False,False,False
107,145.0,155.0,131.5,145.14,35667938,154.3356,159.6963,157.9987,-9.9116,-9.4277,-0.4839,39.5981,21.0445,21.0445,22.6465,30.9747,-77.3535,32.7464,-77.6576,-7.5196,100.0,25.0,38.7103,-0.479,138.7087,159.6963,180.6838,33.2361,318505091.8228,167953565.0,-12.6403,11.2882,-12928996.5862,1,True,False,False,False,False
106,143.41,167.18,136.04,167.0,32328529,149.9654,153.8913,153.7937,-9.9098,-7.1476,-2.7622,28.9148,28.6521,28.6521,58.9407,29.4589,-20.9002,25.5159,61.9617,-13.9351,75.0,0.0,24.5629,-1.0885,131.0254,153.8913,176.7571,3.8244,350459880.6032,200282094.0,-3.5566,25.2421,-2017729.2582,1,True,False,False,False,False
105,164.57,171.0,159.0,167.22,18601340,155.8072,152.0013,153.3722,-10.4357,-5.5366,-4.8991,34.4741,53.7258,53.7258,79.59,62.2435,-9.5696,22.5983,105.2023,-4.392,50.0,0.0,44.6493,-0.5513,134.9735,152.0013,169.029,13.8457,357342376.4032,218883434.0,8.1366,19.3883,4819285.9722,1,True,False,False,False,False
104,167.22,178.88,162.43,173.07,19867118,160.3723,155.05,156.0966,-9.9762,-3.2274,-6.7488,52.6002,75.4227,75.4227,87.7374,64.9626,-12.2626,25.2079,87.5159,7.8665,25.0,100.0,69.2488,0.2,133.2502,155.05,176.8498,33.0366,363175700.4117,238750552.0,13.8055,-3.6484,9034187.4808,0,True,False,False,False,False
103,175.02,179.09,159.35,162.56,19301345,166.2314,162.555,161.2633,-8.8211,-0.8972,-7.9239,68.8932,77.5311,77.5311,65.2658,72.6832,-38.3972,23.7057,27.7026,20.7034,0.0,100.0,78.1912,1.0366,139.1514,162.555,185.9586,19.1992,350151692.5393,219449207.0,5.2716,-27.1643,5793173.0948,1,True,False,False,False,False
102,159.84,174.64,157.28,170.7,20327286,163.6748,166.6625,163.8998,-8.1862,0.3504,-8.5366,76.9306,77.8381,77.8381,80.511,46.2423,-38.4686,20.0384,-14.9409,11.4567,0.0,75.0,75.4289,0.9018,155.6587,166.6625,177.6663,9.0364,361252076.8296,239776493.0,-9.7955,-23.5427,7472591.9298,0,True,False,False,False,False
101,169.27,172.61,154.78,156.09,18742927,165.9129,167.8375,165.969,-6.6484,2.047,-8.6954,68.5859,50.3885,50.3885,5.3887,58.6897,-94.6113,16.0604,-133.3333,2.8559,100.0,50.0,52.1757,0.9305,156.9756,167.8375,178.6994,4.1264,345263298.3849,221033566.0,-14.9215,10.8815,2392961.7726,0,True,False,False,False,False
100,154.33,163.24,150.44,153.21,21580298,161.2797,164.615,164.9074,-5.3791,3.1737,-8.5528,53.3609,31.8561,31.8561,9.6684,39.4123,-90.3316,18.3116,-108.2066,-7.7084,100.0,25.0,26.1808,0.328,148.5366,164.615,180.6934,25.0651,333023223.113,199453268.0,-2.0756,36.2476,-3797180.1303,0,True,False,False,False,False
99,153.21,158.74,133.04,135.84,64144290,158.0518,159.1625,161.9483,-5.0124,3.241,-8.2534,29.7635,7.0458,7.0458,6.0803,38.1595,-93.2692,30.0906,-123.8345,-12.4614,100.0,0.0,17.9927,-0.2576,146.4579,159.1625,171.8671,65.4276,282855899.0274,135308978.0,13.3728,29.8364,-21946643.1059,0,True,False,False,False,False
98,131.76,131.885,111.22,121.45,59590396,147.5351,152.1425,154.7589,-5.1648,2.5612,-7.726,16.5094,10.6264,10.6264,16.1306,21.0625,-83.336,43.0204,-119.8205,-17.5676,100.0,0.0,0.0,-1.4703,125.4082,152.1425,178.8768,81.8099,282264753.0714,75718582.0,19.9585,-1.5431,-27564365.936,0,True,False,False,False,False
97,121.0,121.07,107.4501,112.55,40158494,136.9211,140.075,144.4318,-6.1487,1.1594,-7.3081,9.2283,10.0126,10.0126,7.8267,16.206,-90.8587,53.1653,-83.2446,-28.5166,100.0,0.0,0.0,-2.764,111.6369,140.075,168.5131,83.6001,272180533.2659,35560088.0,11.2062,-32.7693,-30565289.2195,1,True,False,False,False,False
96,113.545,120.7,103.7406,120.5,32894527,127.5706,129.8788,133.075,-6.6479,0.2393,-6.8872,12.6713,17.3749,17.3749,28.1673,13.3603,-69.528,61.2428,-56.4935,-26.4271,100.0,0.0,15.2926,-3.8259,99.9871,129.8788,159.7704,85.4755,304299218.5026,68454615.0,0.7964,-44.0704,-18794695.3311,0,True,False,False,False,False
95,120.5,123.0,114.395,119.83,25759016,124.7424,121.7013,124.6818,-6.5211,-0.0178,-6.5033,16.3789,21.7493,21.7493,29.2538,28.8923,-42.8327,63.2961,39.3434,-21.3498,75.0,0.0,36.7138,-4.0139,108.6767,121.7013,134.7258,69.4557,311079482.4469,42695599.0,-8.794,-55.8083,-10113487.0008,0,True,False,False,False,False
94,123.33,125.51,108.32,108.91,23524023,124.1774,119.5938,120.2138,-6.5042,-0.2584,-6.2459,21.4623,25.2628,25.2628,18.3674,35.1952,-76.2538,66.6169,-46.6424,-6.398,50.0,0.0,48.5688,-3.5894,112.2899,119.5938,126.8976,76.5796,289170255.6737,19171576.0,-22.554,-54.5414,-12613793.2934,0,True,False,False,False,False
93,102.85,105.33,92.09,99.49,42491862,115.6465,115.0563,114.859,-8.7476,-2.4393,-6.3083,23.4222,23.2545,23.2545,22.1424,18.9703,-77.8576,71.7646,-133.3333,-15.0,100.0,75.0,49.8418,-3.8978,99.2649,115.0563,130.8476,87.2076,294176849.6858,-23320286.0,-35.5127,-46.8442,-10896930.2007,1,True,False,False,False,False
92,102.69,104.8888,93.02,103.51,56656957,110.4639,112.3425,109.4335,-12.2608,-5.329,-6.9319,24.4704,24.8937,24.8937,34.1712,18.8796,-65.8288,75.6254,-60.7517,-9.5601,75.0,50.0,55.9631,-4.0993,93.0929,112.3425,131.5921,87.2076,337670114.9374,33336671.0,-50.0104,-14.6063,4634819.1173,0,True,False,False,False,False
91,103.96,105.45,86.71,91.41,36625594,107.8623,108.2075,105.31,-15.6499,-7.5769,-8.0731,23.6524,22.809,22.809,12.1134,22.7851,-87.8866,79.2845,-82.3383,-13.7261,100.0,25.0,35.4729,-3.935,90.7182,108.2075,125.6968,90.262,319415950.1584,-3288923.0,-45.3046,27.6437,4759226.0343,1,True,False,False,False,False
90,88.88,98.12,86.75,97.35,26506969,100.2694,99.595,100.0108,-18.6242,-9.0387,-9.5855,24.0906,24.5691,24.5691,27.4227,12.9298,-43.2231,82.0289,-72.1985,-27.9332,75.0,0.0,35.9069,-4.3104,87.1838,99.595,112.0062,90.262,342332705.2393,23218046.0,-30.9918,45.6177,11669157.6593,0,True,False,False,False,False
89,96.0,97.6861,90.17,94.66,33013487,98.5616,97.8825,96.1097,-22.2777,-10.7908,-11.4869,24.8992,27.3196,27.3196,42.4226,31.5643,-57.5774,84.0872,-46.8523,-6.6602,50.0,50.0,59.6424,-4.0987,85.856,97.8825,109.909,90.262,348762694.6779,-9795441.0,-13.0762,27.6329,15481021.0855,1,True,False,False,False,False
88,96.78,110.1,95.98,103.97,28138208,97.849,96.405,94.0931,-24.7608,-11.2059,-13.5549,33.2559,47.8792,47.8792,73.7922,33.6388,-26.2078,65.559,133.3333,-5.7552,25.0,100.0,50.2567,-3.5397,85.7275,96.405,107.0825,9.9747,352469285.8167,18342767.0,-14.7362,-4.0592,16812424.1145,1,True,False,False,False,False
87,103.78,111.16,101.1,110.98,21806312,100.2214,96.36,94.7595,-27.1023,-11.2747,-15.8276,49.0083,71.8262,71.8262,99.2638,51.3026,-0.7374,52.9365,92.3204,-0.1731,0.0,100.0,77.0391,-2.4566,85.8095,96.36,106.9105,15.0689,373495252.6556,40149079.0,-21.0009,2.6991,22518767.1556,1,True,False,False,False,False
86,110.0,119.24,107.48,117.11,60257929,104.1328,101.64,97.9399,-27.5771,-9.4099,-18.1672,69.5129,88.8334,88.8334,93.4441,62.9777,-7.3271,51.2223,103.5148,23.7624,0.0,100.0,100.0,-1.0731,90.2427,101.64,113.0373,46.0795,411925054.3138,100407008.0,-15.3218,5.3062,35033683.7313,1,True,False,False,False,False
85,118.155,127.09,112.8,124.51,28235744,109.7417,107.1788,103.3535,-26.3282,-5.9584,-20.3699,85.2999,95.24,95.24,93.0119,73.9116,-8.2932,54.2651,103.2648,23.0781,0.0,100.0,100.0,0.4769,91.4268,107.1788,122.9307,63.3936,429965106.2886,128642752.0,-18.1503,5.7077,42708558.5287,0,True,False,False,False,False
84,123.55,126.4345,114.1,114.76,22255183,115.265,113.8713,109.9516,-23.8375,-1.791,-22.0465,88.7825,82.2742,82.2742,60.3664,79.3033,-47.4413,56.5472,43.5963,27.6607,0.0,75.0,82.7969,1.8031,98.7435,113.8713,128.999,63.3936,410091604.0669,106387569.0,-13.666,25.5448,35642296.7363,0,True,False,False,False,False
83,110.36,118.27,109.97,112.82,22938863,113.303,115.5163,113.4998,-22.3068,0.856,-23.1627,81.2239,66.1575,66.1575,45.0943,47.382,-72.769,48.8242,-77.2783,6.3403,0.0,50.0,66.3431,1.6628,104.1796,115.5163,126.8529,25.6552,402905936.1392,83448706.0,-3.1022,29.2905,27224995.5955,1,True,False,False,False,False
82,111.77,116.46,108.17,113.64,25095333,112.6898,115.9588,114.696,-21.6064,2.2181,-23.8246,64.6854,45.6244,45.6244,31.4125,50.2371,-71.0888,39.3146,-75.8827,1.6091,0.0,25.0,29.8159,1.2449,105.4069,115.9588,126.5106,10.7858,410927966.5915,108544039.0,4.0626,30.2724,23859018.8549,1,True,False,False,False,False
81,114.09,123.71,110.5,123.48,18164006,113.2499,114.9425,115.035,-19.4809,4.4388,-23.9198,54.7525,52.4755,52.4755,80.9197,55.5306,-16.1762,40.8488,76.1572,-3.4404,75.0,0.0,21.1516,0.9757,104.6527,114.9425,125.2323,45.4515,428459463.6771,126708045.0,14.2658,24.8846,25891230.2742,0,True,False,False,False,False
80,124.25,129.38,117.59,118.75,40120445,117.6499,115.1175,116.9163,-16.9473,6.3802,-23.3275,50.7238,54.0714,54.0714,49.8821,72.5688,-50.1179,45.9317,90.9558,0.5666,50.0,100.0,56.4796,1.3573,104.241,115.1175,125.994,61.1805,396233796.6584,86587600.0,19.1505,9.1397,14115219.9603,0,True,False,False,False,False
